common_title,viewCount,favoriteCount,commentCount,likeCount,dislikeCount
Anna Karenina,8688776,0,4164,21836,882
Arbitrage,1047169,0,219,854,94
Attenberg,156636,0,44,146,24
Bad Kids Go to Hell,1173153,0,785,1361,1374
Barfi!,284699,0,34,506,37
Being Flynn,5211,0,0,3,1
Beneath the Darkness,3931,0,1,3,0
Brave,17645657,0,12676,40927,3242
Casa de Mi Padre,7559,0,0,4,4
Chasing Ice,2078093,0,614,6361,127
Cheerful Weather for the Wedding,12693,0,0,24,0
Chronicle,15661501,0,14594,44893,1382
Cloud Atlas,224938,0,22,167,96
Comic-Con Episode IV: A Fan's Hope,59159,0,18,230,4
Compliance,194743,0,71,312,23
Coriolanus,1582242,0,1063,2854,120
Cosmopolis,14445434,0,2733,6831,3793
Crooked Arrows,16888,0,50,104,69
Damsels in Distress,301420,0,72,289,74
Darling Companion,37508,0,33,99,78
Deadfall,5839092,0,1188,5890,511
Declaration of War,31218,0,7,39,2
Detropia,25265,0,31,50,3
Don't Go in the Woods,67234,0,43,92,13
Ek Tha Tiger,9930136,0,9873,29389,3938
End of Watch,5129273,0,3258,9632,425
Entrance,60458,0,71,75,138
Fightville,64830,0,22,97,5
Finding Nemo 3D,7876237,0,1184,5578,1887
First Position,158768,0,53,428,10
Footnote,56330,0,13,86,6
Friends with Kids,6889,0,0,2,0
Fullmetal Alchemist: The Sacred Star of Milos,162856,0,750,1305,12
Fun Size,51301,0,62,323,16
Fury,7433958,0,1615,10396,1039
Gone,2767997,0,169,3004,114
Good Deeds,317974,0,138,586,644
Goon,8071,0,0,6,0
Headhunters,172297,0,55,149,6
Here Comes the Boom,4705345,0,2189,8882,459
House at the End of the Street,4765632,0,3075,8035,619
Hyde Park on Hudson,222533,0,13,112,26
Hysteria,1382418,0,404,2390,112
Jack Reacher,537209,0,178,311,100
Jeff,819269,0,352,1447,111
Jesus Henry Christ,2037947,0,725,13716,865
Jiro Dreams of Sushi,101446,0,31,302,14
John Carter,8676001,0,3071,8869,1017
Journey 2: The Mysterious Island,49429,0,2,26,1
Joyful Noise,6529,0,0,1,0
Keyhole,36035,0,8,31,23
Killer Joe,111406,0,12,76,5
Lay the Favorite,203541,0,31,94,20
Les Misérables,3307753,0,4702,14265,285
Lincoln,9063612,0,10421,19930,3052
Lockout,2822590,0,870,2730,250
Lola Versus,1145636,0,108,991,88
Looper,1384610,0,1449,3983,103
Magic Mike,2378283,0,743,2428,270
Man on a Ledge,3771193,0,1038,2910,210
Mansome,692666,0,195,2014,51
Marley,309990,0,157,947,30
Men in Black 3,17398737,0,12769,68053,1270
Monsieur Lazhar,244786,0,34,373,15
Monsters,,0,,,
Moonrise Kingdom,1974780,0,630,8316,139
Nativity 2: Danger in the Manger,101717,0,23,146,11
Nobody Walks,1515566,0,241,2707,157
North Sea Texas,260037,0,45,353,15
Norwegian Wood,721135,0,307,1591,32
Not Fade Away,40731,0,,,
One for the Money,286966,0,17,39,8
Oslo,251714,0,80,493,16
Paranormal Activity 4,1405283,0,1022,1385,893
ParaNorman,292757,0,127,773,41
Parental Guidance,1717750,0,531,1962,274
People Like Us,2107802,0,514,2330,232
Piranha 3DD,7054477,0,2840,4195,2231
Pitch Perfect,402364,0,245,1111,33
Polisse,310041,0,100,329,18
Premium Rush,4188888,0,2506,10313,692
Project X,21749930,0,16818,39230,5177
Prometheus,6824097,0,9525,27904,705
Pusher,89404,0,13,,
Rampart,57188,0,18,93,69
Red Dawn,5698215,0,10841,14769,2538
Red Tails,40022,0,6,38,7
Rise of the Guardians,5867885,0,2672,16686,615
Robot & Frank,33545,0,4,50,3
Ruby Sparks,194017,0,38,879,15
Safe,28533,0,0,12,4
Safe House,9610685,0,1630,5863,570
Safety Not Guaranteed,2484659,0,864,8124,325
Salmon Fishing in the Yemen,6709,0,0,5,0
Searching for Sugar Man,1098137,0,240,1998,59
Seeking a Friend for the End of the World,1122586,0,114,557,20
Seven Psychopaths,1586296,0,428,6295,145
Silent Hill: Revelation,3562752,0,711,1339,116
Silent House,2449644,0,1773,3281,446
Silver Linings Playbook,342033,0,45,403,18
Sing Your Song,33323,0,4,77,5
Sinister,2397088,0,701,5703,303
Skyfall,25863717,0,,53389,2298
Smashed,121171,0,113,496,23
Sound of My Voice,78037,0,11,145,9
Sparkle,587858,0,319,1178,56
Stolen,3658612,0,1970,2595,1219
Surviving Progress,44062,0,16,206,4
Tabu,375241,0,32,525,20
Take This Waltz,573874,0,216,798,44
Taken 2,16292020,0,14679,38189,1701
Ted,21270185,0,7236,41975,2508
That's My Boy,291175,0,107,497,96
The Ambassador,6110,0,1,12,18
The Best Exotic Marigold Hotel,9727,0,0,9,0
The Campaign,1013279,0,404,1377,76
The Collection,4174672,0,1534,6162,477
The Details,60929,0,13,63,20
The Devil Inside,55819,0,14,72,5
The Divide,343749,0,350,1224,87
The Fitzgerald Family Christmas,143781,0,36,114,68
The Flowers of War,963236,0,1185,1842,93
The Impossible,12431823,0,7443,43899,1430
The Imposter,430300,0,73,519,23
The Invisible War,384639,0,359,1261,47
The Lucky One,625370,0,,1898,148
The Man with the Iron Fists,1120861,0,480,1330,122
The Master,4643674,0,3272,7576,433
The Oranges,156197,0,79,483,11
The Paperboy,514366,0,66,291,25
The Perks of Being a Wallflower,441210,0,223,1843,30
The Pirates! In an Adventure with Scientists!,3810,0,0,3,0
The Queen of Versailles,166667,0,33,103,32
The Raid: Redemption,2642411,0,1286,5354,193
The Raven,13826,0,0,4,0
The Secret World of Arrietty,125053,0,298,715,27
The Sessions,1346064,0,365,1750,102
The Three Stooges,364160,0,264,865,124
The Vow,12365108,0,3655,24625,800
The Waiting Room,16647,0,0,16,2
The Watch,346571,0,201,749,24
The Woman in Black,14889,0,5,38,1
The Woman in the Fifth,4967,0,2,4,0
The Words,3966697,0,1500,7379,235
Think Like a Man,5076712,0,1784,10685,512
This Is 40,781471,0,0,,
This Means War,2487783,0,799,5086,232
This Must Be the Place,1043587,0,396,2253,143
Total Recall,2818881,0,1378,5135,483
Trouble with the Curve,1295462,0,97,687,26
Underworld: Awakening,220706,0,226,734,27
Union Square,18239,0,6,17,6
Virginia,182300,0,14,229,25
Wanderlust,4925215,0,394,7072,524
We Have a Pope,124729,0,14,52,3
West of Memphis,40493,0,2,,
What to Expect When You're Expecting,21565,0,0,13,1
Where Do We Go Now?,76840,0,34,191,10
Won't Back Down,551482,0,508,1421,214
Wrath of the Titans,50990,0,1,17,2
Wreck-It Ralph,1624513,0,3728,8168,276
Zero Dark Thirty,2652236,0,2821,4085,1125
2 Guns,198496,0,158,835,28
12 Rounds 2: Reloaded,457906,0,65,267,21
12 Years a Slave,4934561,0,4556,12502,566
20 Feet from Stardom,788899,0,172,1744,80
21 and Over,1322146,0,749,3204,234
3 Geezers!,3950,0,0,2,1
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,119503,0,21,113,19
42,248266,0,135,635,23
47 Ronin,453062,0,61,341,23
The ABCs of Death,925827,0,397,1351,350
Abandoned Mine,349752,0,108,204,136
Admission,373910,0,26,407,41
After Earth,17124180,0,12657,40628,3393
Aftershock,576382,0,644,1271,582
Ain't Them Bodies Saints,823931,0,215,1592,89
All Is Lost,101158,0,,,
Alone yet Not Alone,116473,0,90,559,46
American Hustle,28602,0,4,100,9
Anchorman 2: The Legend Continues,9962803,0,3504,25553,1903
Angels Sing,5985,0,1,16,0
Apartment 1303 3D,5530291,0,2269,7309,4518
Apocalypse Earth,1341707,0,252,278,369
At Any Price,13116202,0,742,19727,870
Arthur Newman,1971,0,0,2,0
Ass Backwards,46282,0,7,53,16
Assault on Wall Street,3157941,0,1567,3927,653
August: Osage County,2736126,0,1154,4189,307
Baggage Claim,747100,0,340,1280,103
Battle of the Year,3453645,0,1446,10692,648
The Baytown Outlaws,362292,0,45,147,30
Beautiful Creatures,4724471,0,4757,14126,903
Before Midnight,19680,0,17,594,4
Behind the Candelabra,411702,0,24,129,19
Beneath,90629,0,50,365,35
Beside Still Waters,3051,0,2,21,1
Best Kept Secret,15074,0,9,68,0
Best Man Down,893321,0,43,596,61
The Best Man Holiday,30331,0,9,50,5
Big Ass Spider!,741515,0,243,1117,178
Big Sur,261483,0,113,742,29
The Big Wedding,242999,0,59,251,11
Black Nativity,7226,0,17,52,19
Blackfish,117333,0,123,266,54
Black Rock,66471,0,27,81,27
"Bless Me, Ultima",344067,0,164,618,69
The Bling Ring,8223591,0,2158,16148,1067
Blue Caprice,478195,0,211,689,47
Blue Jasmine,39993,0,19,47,17
Blue Ruin,57838,0,4,42,5
The Book of Esther,590017,0,256,1604,190
The Book Thief,5025605,0,3715,21167,533
Bounty Killer,1116862,0,143,701,133
The Brass Teapot,3909691,0,605,7566,610
Breathe In,1015605,0,334,1522,101
Bridegroom,15194,0,0,51,3
Broken City,1483255,0,67,572,39
Bullet to the Head,238410,0,96,637,50
The Butler,817116,0,1078,3905,187
C.O.G.,168346,0,171,673,56
The Call,717592,0,279,982,90
Can a Song Save Your Life?,11965759,0,1524,33583,873
The Canyons,1057434,0,141,499,120
Captain Phillips,717289,0,682,2646,109
Carrie,110755,0,80,457,19
CBGB,180942,0,213,1362,45
Charlie Countryman,6449,0,0,23,2
Cheech & Chong's Animated Movie,537976,0,94,2030,124
Chilling Visions: 5 Senses of Fear,224404,0,0,,
The Cloth,876740,0,209,526,431
Cloudy with a Chance of Meatballs 2,829123,0,151,1022,106
Coffin Baby,138409,0,20,86,20
Company of Heroes,943949,0,1387,2317,494
Computer Chess,42907,0,11,70,2
Concussion,17737076,0,3674,21870,1865
The Conjuring,6924221,0,3597,13312,1015
Contest,34059,0,11,168,14
Continental,471758,0,175,672,54
Contracted,291988,0,110,437,46
The Counselor,171280,0,39,211,26
The Croods,8178174,0,1122,10285,1262
Cutie and the Boxer,358906,0,65,1376,22
Dallas Buyers Club,890059,0,313,2113,56
Dark Skies,6272704,0,3876,9111,958
A Dark Truth,17058,0,2,13,2
Dead Man Down,5216781,0,1853,5522,461
Despicable Me 2,5447078,0,1127,17888,1381
Disconnect,265027,0,,,
Dirty Wars,302452,0,310,975,43
Don Jon,4915148,0,532,4391,237
Don't Stop Believin': Everyman's Journey,80649,0,,,
Dracula: The Dark Prince,844944,0,,404,334
Drinking Buddies,5061231,0,777,7607,588
Elysium,9674404,0,6381,22439,1124
Emperor,50734,0,21,77,11
Empire State,507034,0,22,255,122
Ender's Game,9548792,0,15543,29381,1884
The English Teacher,1600908,0,113,1250,267
Enough Said,29403,0,33,119,5
Epic,11666,0,4,27,2
Erased,1088190,0,197,451,56
Escape from Planet Earth,2055574,0,524,2417,365
Escape Plan,6467936,0,2161,12121,610
Europa Report,2729729,0,1631,4443,321
Evil Dead,9159649,0,5280,12726,1629
The Face of Love,589818,0,99,1186,82
Family Weekend,374837,0,71,304,64
Fast & Furious 6,17769043,0,5509,41689,2182
The Fifth Estate,3672495,0,3240,13083,1195
Five Dances,990859,0,71,1609,196
Foodfight!,274564,0,1801,1678,465
Frances Ha,230411,0,42,398,16
Free Birds,1602145,0,919,3588,364
Fright Night 2: New Blood,643171,0,213,338,171
Frozen,34187003,0,7442,54065,8634
Fruitvale Station,455935,0,237,1485,47
G.B.F.,911348,0,640,,
G.I. Joe: Retaliation,49099,0,1,48,9
Gangster Squad,8778,0,4,23,1
Generation Iron,229909,0,59,655,27
Geography Club,201031,0,157,1066,28
Getaway,1231969,0,1586,4421,386
The Ghost Army,396229,0,32,595,27
Girl Most Likely,644357,0,118,899,66
A Glimpse Inside the Mind of Charles Swan III,494454,0,226,1282,156
Gravity,8200,0,0,2,0
The Great Gatsby,3952813,0,2955,14280,279
The Green Inferno,923205,0,199,656,147
Greetings from Tim Buckley,1531077,0,335,4835,161
"Grow Up, Tony Phillips",77627,0,74,220,133
Grown Ups 2,7609245,0,5264,20493,1682
Grudge Match,4158249,0,1486,9189,427
The Hangover Part III,308667,0,164,1084,30
Hansel & Gretel,321059,0,164,216,97
Hansel & Gretel Get Baked,2148276,0,799,4452,1225
Hansel & Gretel: Witch Hunters,1364751,0,834,3337,188
Hansel & Gretel: Warriors of Witchcraft,358985,0,35,,
Hatchet III,401529,0,203,777,143
"Hateship, Loveship",333381,0,42,350,37
A Haunted House,3172300,0,642,4704,173
The Haunting in Connecticut 2: Ghosts of Georgia,1716184,0,410,2473,259
He's Way More Famous Than You,21974,0,9,59,66
The Heat,125845,0,19,165,9
Hell Baby,3965708,0,591,21239,1570
Her,2398158,0,944,5966,215
The Hobbit: The Desolation of Smaug,58890,0,1,41,3
Home Run,275028,0,80,827,36
Homefront,8614398,0,2826,20655,787
The Hospital,10068,0,25,34,3
The Host,25740,0,0,9,8
The Hot Flashes,874691,0,128,780,574
Hours,1566433,0,725,3697,139
How to Be a Man,62912,0,55,314,7
The Hunger Games: Catching Fire,32238143,0,50626,189152,4450
I Am Divine,147992,0,24,529,24
I'm in Love with a Church Girl,1742367,0,596,5427,529
I Know That Voice,45058,0,43,435,3
I Used to Be Darker,71656,0,5,81,7
The Iceman,2459586,0,1124,3369,251
In a World...,58567,0,67,558,19
The Incredible Burt Wonderstone,2080081,0,275,2713,85
Inequality for All,263016,0,306,1186,68
The Inevitable Defeat of Mister & Pete,240501,0,186,1131,32
Inside Llewyn Davis,7740,0,0,1,1
Insidious: Chapter 2,17946640,0,10224,42457,2575
The Internship,5184576,0,2317,11314,619
Iron Man 3,3349525,0,2596,14358,635
ISteve,29263,0,,,
It's a Disaster,439476,0,172,723,111
Jack the Giant Killer,179791,0,36,43,85
Jack the Giant Slayer,43498,0,1,17,6
Jackass Presents: Bad Grandpa,25979573,0,16425,136244,4389
Java Heat,795658,0,323,1151,179
Jay & Silent Bob's Super Groovy Cartoon Movie,566890,0,1324,4994,438
Jayne Mansfield's Car,160151,0,57,396,78
Jobs,2237937,0,2466,13047,910
Joe,2824655,0,619,3218,172
Jug Face,2942193,0,1161,2923,1686
Justice League: The Flashpoint Paradox,1321232,0,2237,5814,102
Kevin Hart: Let Me Explain,91138,0,20,248,8
Kick-Ass 2,605194,0,1226,4029,86
Kill Your Darlings,2290564,0,1111,12809,266
Killing Season,2211531,0,2130,2207,1084
The Kings of Summer,668937,0,138,2222,26
Kink,7330,0,0,3,1
Kiss of the Damned,36314,0,10,69,13
Koch,173,0,0,0,0
Last Call,160537,0,9,72,19
The Last Exorcism Part II,1366510,0,504,1254,194
The Last of Robin Hood,2193102,0,234,3531,305
The Last Stand,59249,0,64,419,18
Last Vegas,2039127,0,251,2728,233
Last Weekend,691353,0,10,873,58
Let the Fire Burn,75783,0,28,244,10
Liars All,112147,0,37,138,8
Life of Crime,36866,0,,,
The Lifeguard,10009203,0,1354,29469,811
Little Feet,16026,0,16,76,1
The Lone Ranger,2608867,0,1079,4233,363
The Lords of Salem,2843310,0,1548,5413,753
The Lost Medallion: The Adventures of Billy Stone,430583,0,87,487,48
Lovelace,3054707,0,610,4733,285
Lone Survivor,16346619,0,12542,36791,3084
Lucky Them,66222,0,1,57,16
LUV,13760,0,0,,
Machete Kills,287446,0,283,1448,151
A Madea Christmas,423003,0,67,415,28
Magic Magic,14504,0,15,56,1
Manhattan Romance,2296057,0,81,3490,286
Man of Steel,40190625,0,47660,128173,6431
Manhunt: The Search for Bin Laden,26517,0,1,19,3
The Marine 3: Homefront,746119,0,,1263,159
Masterminds,3554778,0,409,9965,304
McCanick,334018,0,261,1034,76
Medora,15643,0,11,52,1
Metallica Through the Never,908835,0,846,4747,94
Monsters University,5321200,0,1616,13831,1437
The Mortal Instruments: City of Bones,6507433,0,11440,29867,1042
Movie 43,1549590,0,830,2636,402
Much Ado About Nothing,385814,0,168,780,24
Mud,507339,0,143,533,33
Nebraska,1133628,0,424,1316,94
No One Lives,743265,0,303,950,64
Now You See Me,423766,0,1,33,2
Oblivion,268332,0,48,403,32
Officer Down,1216979,0,274,514,291
Oldboy,9369727,0,1132,11502,2325
Olympus Has Fallen,7970144,0,7313,14161,1639
One Direction: This Is Us,199626,0,90,2710,77
Out of the Furnace,4840546,0,2092,9730,397
Oz the Great and Powerful,3055587,0,1346,8059,463
Pacific Rim,7011544,0,7912,25695,1079
The Package,30887,0,1,15,0
Pain & Gain,19789281,0,7765,44937,2599
Half Life,202972,0,169,700,32
Paradise,370873,0,42,828,55
The Pardon,4942,0,0,3,1
Parker,825226,0,427,1490,86
Parkland,1926623,0,359,3196,144
Pawn Shop Chronicles,2854,0,1,9,3
Penthouse North,483759,0,129,442,113
Percy Jackson: Sea of Monsters,6952,0,0,9,0
Phantom,3284450,0,773,2386,290
Philomena,687498,0,216,906,65
Pit Stop,66355,0,3,45,7
The Place Beyond the Pines,24489,0,49,217,2
Planes,806346,0,586,1615,482
Plush,1622640,0,185,3238,497
Plus One,1730245,0,582,2979,535
The Pretty One,2445303,0,297,9591,183
Prince Avalanche,271375,0,156,817,77
Prisoners,8763697,0,4707,18437,677
Proxy,225651,0,24,139,51
The Punk Singer,95937,0,38,545,9
The Purge,743351,0,1094,2178,157
Rapture-Palooza,2143369,0,1793,5228,1962
The Red Robin,14116,0,16,34,4
RED 2,679627,0,268,2262,80
A Resurrection,480583,0,109,306,63
Riddick,8262443,0,4222,17496,1221
R.I.P.D.,828015,0,627,2903,158
Roadside,241,0,0,0,0
Robosapien: Rebooted,870891,0,227,764,218
Runner Runner,12073556,0,6357,64421,1097
Safe Haven,9984771,0,3191,16791,761
Salinger,2143,0,0,3,0
The Saratov Approach,220017,0,122,717,54
Savannah,5361,0,1,11,0
Saving Mr. Banks,1013584,0,315,2233,84
Saving Santa,120159,0,9,80,12
Scary Movie 5,13460109,0,11172,29979,6970
Scenic Route,12818,0,4,4,0
The Secret Life of Walter Mitty,309820,0,214,1194,41
She Wants Me,7586257,0,484,,
Short Term 12,84255,0,31,197,94
Side Effects,287926,0,6,69,10
A Single Shot,230708,0,49,217,25
Skinwalker Ranch,190917,0,114,375,62
The Smurfs 2,1981495,0,552,2944,697
The Smurfs: The Legend of Smurfy Hollow,134616,0,26,142,17
Snitch,7159478,0,2040,10167,524
Some Velvet Morning,1875301,0,188,2523,335
Sound City,1586216,0,688,9068,99
The Spectacular Now,15950601,0,4373,65392,1019
Spiders 3D,30218,0,67,90,77
Spring Breakers,40368,0,21,93,16
Standing Up,168804,0,65,137,14
Stand Up Guys,65128,0,,,
Star Trek Into Darkness,172536,0,61,606,16
The Starving Games,695522,0,794,4137,1394
Stoker,2970882,0,135,1125,71
Struck by Lightning,2710841,0,2164,19133,345
Submit the Documentary,6656,0,3,23,0
Sunlight Jr.,303557,0,125,633,42
Superman: Unbound,1308141,0,1587,4925,219
Sweetwater,278565,0,57,530,47
A Teacher,449751,0,121,269,48
Temptation: Confessions of a Marriage Counselor,16966073,0,6855,43355,5337
Test,3581,0,0,2,0
Texas Chainsaw 3D,698187,0,817,1630,140
The Square,1684181,0,323,5010,395
This Is the End,7664318,0,2587,15624,831
Thor: The Dark World,17720822,0,11747,64261,2453
Turbo,2026429,0,623,4299,438
UnHung Hero,172649,0,67,235,30
The Unknown Known,256262,0,193,922,104
The Unspeakable Act,39505,0,20,34,12
Unsupersize Me,1534,0,0,7,0
Upstream Color,4160,0,3,82,0
V/H/S/2,345231,0,212,512,32
Vehicle 19,999476,0,494,2096,164
Violet & Daisy,1047578,0,441,2475,116
The Wait,107413,0,27,183,22
Walking with Dinosaurs,828736,0,679,2391,218
Warm Bodies,2915841,0,3281,16911,542
"The Way, Way Back",1904590,0,1068,4633,151
We Are What We Are,1112140,0,430,1276,108
We Steal Secrets: The Story of WikiLeaks,4510008,0,2380,13727,848
We're the Millers,821054,0,677,4329,221
Welcome to the Jungle,27347120,0,23380,159193,51863
White House Down,34174,0,3,13,1
White Reindeer,80610,0,12,113,12
The Wicked,13021418,0,1858,10122,3402
The Wolf of Wall Street,20379912,0,11399,59732,2733
The Wolverine,17982556,0,15896,154216,3148
World War Z,524219,0,166,672,41
Wrong,214092,0,115,778,33
Wrong Cops,714628,0,266,1881,735
You're Next,4700780,0,4364,12291,835
You Are Here,5039466,0,532,9655,450
Zombie Hunter,132522,0,12,96,16
Paranormal Activity: The Marked Ones,2256444,0,1211,3521,556
Open Grave,72139,0,32,209,7
Cold Comes the Night,98283,0,71,214,7
Dumbbells,53469,0,1,,
The Legend of Hercules,3925570,0,1706,3572,1854
Raze,492761,0,64,798,30
Back in the Day,19609,0,6,68,18
Devil's Due,126153,0,18,208,28
Jack Ryan: Shadow Recruit,150574,0,145,382,63
Jamesy Boy,33105,0,12,54,3
The Nut Job,2906072,0,594,3949,755
Ride Along,2029849,0,1343,12167,252
Black Water Vampire,84800,0,13,52,12
"I, Frankenstein",6759832,0,6591,18062,4147
Mega Shark Versus Mecha Shark,745547,0,474,1535,260
Labor Day,347848,0,70,357,26
That Awkward Moment,8597429,0,962,22753,875
Android Cop,166055,0,42,77,55
The Monuments Men,86444,0,15,158,12
The Outsider,1339998,0,2411,16003,1019
After the Dark,68225,0,7,139,4
Nurse 3D,14920,0,0,4,0
The Pretty One,2445303,0,297,9591,183
Vampire Academy,627884,0,502,1637,164
About Last Night,7361470,0,771,19056,724
Adult World,34746,0,10,51,6
Camp Takota,15438,0,13,236,5
Date and Switch,4578236,0,245,7222,834
Endless Love,17757545,0,3120,42470,1907
RoboCop,141100,0,60,671,59
Someone Marry Barry,8675,0,0,4,0
Apocalypse Pompeii,364774,0,88,128,178
3 Days to Kill,12416,0,1,53,0
Angels in Stardust,92075,0,10,53,8
Barefoot,46939,0,2,10,0
Holy Ghost People,172270,0,59,109,46
The Bag Man,192820,0,34,194,30
Non-Stop,877355,0,143,696,81
Repentance,549555,0,87,676,35
Son of God,3502039,0,4699,19156,1669
300: Rise of an Empire,16701798,0,19223,52153,2462
Mr. Peabody & Sherman,4815899,0,981,9024,1364
Better Living Through Chemistry,1449778,0,162,2509,153
Need for Speed,12262130,0,5614,40448,1700
The Single Moms Club,1197678,0,218,6120,277
Veronica Mars,4543730,0,1564,14999,1259
Divergent,6441416,0,1951,18274,597
God's Not Dead,5826845,0,24407,34728,11967
Muppets Most Wanted,2276790,0,1228,6249,790
50 to 1,477274,0,111,684,27
Noah,357531,0,137,1124,88
Alien Abduction,25370,0,3,18,5
Captain America: The Winter Soldier,27943059,0,9362,77263,3172
In the Blood,1248822,0,204,2141,161
Draft Day,3768634,0,597,2236,283
Oculus,1997600,0,173,583,47
Rio 2,1350329,0,431,3327,334
Asian School Girls,245855,0,53,141,70
Heaven Is for Real,6164426,0,7868,30590,2353
Authors Anonymous,670468,0,43,753,76
Kid Cannabis,37976,0,1,14,9
Transcendence,1557669,0,312,3822,86
13 Sins,1027330,0,186,938,70
The Other Woman,13525983,0,2095,17341,1701
Walking with the Enemy,292615,0,398,836,450
The Amazing Spider-Man 2,14372068,0,11565,53513,2570
Bad Johnson,1359037,0,144,1714,361
Decoding Annie Parker,69326,0,14,53,3
Walk of Shame,887686,0,28,,
Devil's Knot,24428,0,2,35,1
God's Pocket,6425,0,4,6,2
'Moms' Night Out,2773691,0,318,2540,273
Neighbors,1448111,0,242,2379,123
Stage Fright,10907,0,2,17,1
Godzilla,17183863,0,14093,71374,2707
Million Dollar Arm,1854655,0,512,5444,206
The Angriest Man in Brooklyn,4004226,0,1720,9326,609
Blended,9737889,0,2177,24614,2178
Cold in July,35600,0,4,17,4
X-Men: Days of Future Past,20932905,0,8142,56504,2624
Maleficent,17310228,0,7359,61813,2450
A Million Ways to Die in the West,1833677,0,544,6262,474
Edge of Tomorrow,1531999,0,461,3275,174
The Fault in Our Stars,37395323,0,38659,396820,5346
Ping Pong Summer,45254,0,8,73,11
22 Jump Street,1564227,0,83,2131,84
Hellion,10726,0,2,19,2
How to Train Your Dragon 2,9548933,0,10913,45130,1133
Lullaby,758,0,0,0,0
Murder 101,5874,0,2,6,0
Obvious Child,16458,0,14,21,11
The Signal,1612725,0,394,2831,122
Jersey Boys,1622498,0,530,4542,141
Think Like a Man Too,9254110,0,2245,21894,3182
America: Imagine the World Without Her,217735,0,913,647,298
They Came Together,7028,0,2,20,0
Transformers: Age of Extinction,706554,0,45,867,41
Deliver Us from Evil,2554762,0,346,1864,132
Earth to Echo,4039300,0,999,4396,325
Tammy,4198822,0,1217,9195,739
Boyhood,63973,0,7,99,9
Dawn of the Planet of the Apes,11036170,0,3305,28561,1750
Rage,98051,0,54,181,15
Road to Paloma,334232,0,88,918,28
I Origins,3010425,0,1301,7678,645
Persecuted,580078,0,1055,562,706
Planes: Fire & Rescue,2264202,0,553,2212,514
The Purge: Anarchy,15522485,0,9652,30405,2119
Sex Tape,17388572,0,473,5351,1174
Tiger Orange,71879,0,10,109,13
Wish I Was Here,6902530,0,,,
And So It Goes,139563,0,12,94,18
Happy Christmas,25687,0,31,399,9
Hercules,306212,0,48,462,31
Magic in the Moonlight,2117076,0,327,3106,342
Guardians of the Galaxy,1503256,0,1538,9921,208
Mercenaries,586948,0,113,260,169
4 Minute Mile,230198,0,68,512,12
